Id;Default
908;Arc Dynamic
755;Bad
149;Carried Out
470;Core Dimension
79;Distance a_l
864;Distance Magnet Pole
103;dtj
832;Edge Pre
480;est
342;Focal Position
478;Frequency
55;ID
734;Incomplete Penetration
457;Joint Pre
502;Laser Power
766;Magent Pole Type
266;Magnet Measurement HMI
930;Magnet Pole Width
422;Measurement$T Name
335;Measurement Name
56;Measurementname
340;Measurmentname
418;Normal
193;Opening Angel
887;Periodic Dopout
9;Root Face
388;Root Opening Angel
257;Sporadic Dropout
200;Sporadic Seam Collapse
327;Start PLC Connection
42;Status
188;Steel
46;Stickout
650;Strong Seam Collapse
230;Thickness
58;Undercut
974;Uniform Root Overcome
95;Very Good
336;Voltafage AC Power Source
711;Voltage AC Power Source
745;Voltatage AC Power Source
341;Welding Speed
262;WER
106;Wire Diameter
270;Wire Feeding Rate
572;Wire Type
182;Write Metadata
